SoC_CH;OCP_NE_CH;OCP_PE_CH;SoC_DCH;OCP_NE_DCH;OCP_PE_DCH;Q_Ch;Q_Dch
0.04102051;0.394548708;3.609222591;0.04102051;0.713943698;3.619508499;0.321875828;0.311200305
0.04152076;0.392082201;3.609667832;0.04152076;0.711084288;3.619834065;0.325801142;0.314995431
0.042021011;0.389651323;3.610114953;0.042021011;0.708250627;3.620157995;0.329726457;0.318790557
0.042521261;0.387254745;3.610557826;0.042521261;0.705458631;3.620480672;0.333651772;0.322585682
0.043021511;0.384889694;3.610993178;0.043021511;0.702704654;3.620798556;0.337577087;0.326380808
0.043521761;0.382561197;3.611430154;0.043521761;0.699969372;3.621111293;0.341502402;0.330175934
0.044022011;0.380264887;3.611862419;0.044022011;0.697266419;3.621424712;0.345427717;0.333971059
0.044522261;0.37800038;3.612288097;0.044522261;0.694592881;3.621735546;0.349353032;0.337766185
0.045022511;0.375774165;3.612714907;0.045022511;0.691959324;3.622049645;0.353278347;0.341561311
0.045522761;0.373579018;3.613139635;0.045522761;0.689351975;3.622354186;0.357203662;0.345356436
0.046023012;0.371416741;3.613560759;0.046023012;0.686781228;3.62266075;0.361128977;0.349151562
0.046523262;0.369290356;3.613979515;0.046523262;0.684235766;3.62296532;0.365054292;0.352946688
0.047023512;0.367194562;3.6143945;0.047023512;0.681712378;3.623266745;0.368979607;0.356741813
0.047523762;0.365129336;3.614802292;0.047523762;0.679223277;3.623559793;0.372904922;0.360536939
0.048024012;0.363098251;3.615208038;0.048024012;0.676756236;3.62386229;0.376830237;0.364332065
0.048524262;0.3611031;3.615613857;0.048524262;0.674313291;3.624156052;0.380755552;0.36812719
0.049024512;0.359135746;3.616012051;0.049024512;0.671887136;3.624447892;0.384680867;0.371922316
0.049524762;0.357200663;3.616408209;0.049524762;0.669485516;3.624742255;0.388606182;0.375717442
0.050025013;0.355300578;3.616805925;0.050025013;0.667127612;3.625032685;0.392531497;0.379512567
0.050525263;0.353430677;3.617195227;0.050525263;0.664779649;3.625320187;0.396456812;0.383307693
0.051025513;0.351590616;3.61758237;0.051025513;0.662450707;3.625605991;0.400382127;0.387102819
0.051525763;0.349778265;3.617962284;0.051525763;0.660135565;3.625889687;0.404307442;0.390897944
0.052026013;0.348002879;3.618347026;0.052026013;0.657851923;3.626170207;0.408232757;0.39469307
0.052526263;0.346258057;3.618725468;0.052526263;0.655588867;3.626448446;0.412158072;0.398488196
0.053026513;0.344542925;3.619102447;0.053026513;0.65334161;3.626726534;0.416083387;0.402283321
0.053526763;0.342853276;3.619470846;0.053526763;0.651119406;3.627005697;0.420008702;0.406078447
0.054027014;0.341198252;3.619840242;0.054027014;0.648914972;3.627281027;0.423934017;0.409873573
0.054527264;0.339574618;3.620208873;0.054527264;0.646730107;3.62755128;0.427859332;0.413668698
0.055027514;0.337979061;3.620571086;0.055027514;0.644559485;3.627822358;0.431784647;0.417463824
0.055527764;0.336414889;3.62093081;0.055527764;0.642414363;3.628090962;0.435709962;0.42125895
0.056028014;0.334880264;3.621287947;0.056028014;0.640299267;3.628362298;0.439635277;0.425054075
0.056528264;0.333375388;3.62164006;0.056528264;0.638199337;3.628628087;0.443560592;0.428849201
0.057028514;0.331902284;3.621994752;0.057028514;0.636104609;3.628889647;0.447485907;0.432644327
0.057528764;0.330459404;3.622345088;0.057528764;0.634038033;3.629155645;0.451411222;0.436439452
0.058029015;0.329041288;3.622685609;0.058029015;0.63198428;3.629415558;0.455336536;0.440234578
0.058529265;0.32765664;3.623030095;0.058529265;0.629948311;3.629675165;0.459261851;0.444029704
0.059029515;0.326301883;3.623370417;0.059029515;0.627928979;3.629928997;0.463187166;0.447824829
0.059529765;0.324975361;3.623708859;0.059529765;0.625925421;3.630184028;0.467112481;0.451619955
0.060030015;0.323678467;3.624044152;0.060030015;0.623940417;3.630437277;0.471037796;0.455415081
0.060530265;0.32240525;3.624372979;0.060530265;0.621967955;3.630687046;0.474963111;0.459210206
0.061030515;0.321161924;3.624698592;0.061030515;0.620020762;3.630939479;0.478888426;0.463005332
0.061530765;0.319950526;3.625028252;0.061530765;0.618084949;3.631191062;0.482813741;0.466800458
0.062031016;0.318767268;3.62535315;0.062031016;0.616166813;3.631439497;0.486739056;0.470595583
0.062531266;0.317604328;3.625671803;0.062531266;0.614263374;3.631682796;0.490664371;0.474390709
0.063031516;0.316472158;3.625991864;0.063031516;0.612373982;3.631925038;0.494589686;0.478185835
0.063531766;0.315362807;3.626306114;0.063531766;0.610502975;3.632166696;0.498515001;0.481980961
0.064032016;0.314279566;3.626619259;0.064032016;0.608647294;3.632408071;0.502440316;0.485776086
0.064532266;0.313224595;3.626934581;0.064532266;0.606806895;3.632649281;0.506365631;0.489571212
0.065032516;0.312186998;3.627238445;0.065032516;0.604977893;3.632887618;0.510290946;0.493366338
0.065532766;0.311173418;3.62754105;0.065532766;0.603171951;3.633123533;0.514216261;0.497161463
0.066033017;0.310187605;3.627845415;0.066033017;0.601379017;3.633357482;0.518141576;0.500956589
0.066533267;0.309227424;3.628148917;0.066533267;0.599596971;3.633587915;0.522066891;0.504751715
0.067033517;0.308284561;3.628447746;0.067033517;0.597825091;3.633820835;0.525992206;0.50854684
0.067533767;0.307361487;3.628744854;0.067533767;0.596076474;3.634051139;0.529917521;0.512341966
0.068034017;0.306462571;3.629042123;0.068034017;0.594339241;3.634281004;0.533842836;0.516137092
0.068534267;0.305578343;3.629333321;0.068534267;0.592613855;3.634506174;0.537768151;0.519932217
0.069034517;0.304712401;3.629620938;0.069034517;0.590900664;3.634728408;0.541693466;0.523727343
0.069534767;0.303864625;3.62990837;0.069534767;0.589204426;3.634954171;0.545618781;0.527522469
0.070035018;0.303037444;3.630197867;0.070035018;0.587523301;3.635177415;0.549544096;0.531317594
0.070535268;0.302220287;3.630476694;0.070535268;0.585853955;3.635397287;0.553469411;0.53511272
0.071035518;0.301420374;3.630758428;0.071035518;0.584201456;3.63562111;0.557394726;0.538907846
0.071535768;0.300632973;3.631035454;0.071535768;0.582554692;3.635836316;0.561320041;0.542702971
0.072036018;0.299862317;3.63131597;0.072036018;0.580927768;3.636049396;0.565245356;0.546498097
